PCA 0;PCA 1;PCA 2;PCA 3;PCA 4;PCA 5;PCA 6;PCA 7;PCA 8;PCA 9;PCA 10;PCA 11;PCA 12;PCA 13;PCA 14;PCA 15;PCA 16;PCA 17;PCA 18;PCA 19;PCA 20;PCA 21;PCA 22;PCA 23;PCA 24;PCA 25;PCA 26;PCA 27;PCA 28;PCA 29;PCA 30;PCA 31;PCA 32;PCA 33;PCA 34;PCA 35;PCA 36;PCA 37;PCA 38;PCA 39;PCA 40;PCA 41;PCA 42;PCA 43;PCA 44;PCA 45;PCA 46;PCA 47;PCA 48;PCA 49;PCA 50;PCA 51;PCA 52;PCA 53;PCA 54;PCA 55;PCA 56;PCA 57;PCA 58;PCA 59;PCA 60;PCA 61;PCA 62;PCA 63;PCA 64;PCA 65;PCA 66;PCA 67;PCA 68;PCA 69;PCA 70;PCA 71;PCA 72;PCA 73;PCA 74;PCA 75;PCA 76;class;img name
-7.634464225551982e+32;-9.765215276511847e+28;-3.278635049827143e+28;1.407169156520079e+25;8.711923981295471e+24;5.065673667524433e+24;-7.557585790596526e+21;-1.9406034959289066e+21;-1.838331894171614e+21;3.3775362102510985e+19;-8.074513458682418e+18;-2.1682012616745948e+18;5.0971710078210624e+17;-1.0660039144976224e+18;-2.4559943249862182e+17;-1903082076392410.5;545155841937459.25;56550667199140.88;314352353919552.94;-297311033808.15857;9678229622.509811;169400088157.37933;16116414877.849392;-22458796334.593052;31995596651.081635;31084642691.682724;3401877792.022361;3487855493.7654605;3465412136.0211973;-1737846221.6122599;629264004.6817592;3989082.933867462;-1049361513.8393332;6780918506.238803;3075494089.288375;9346362227.211573;3058636769.4106154;5374094089.424259;-4556782000.916981;-508451010.41059077;2016600789.1564298;-3242748486.6208596;3718124654.3935227;-670963816.3116325;-530768521.3190434;68724691.30205724;529677825.7962782;829264014.6594342;-263901550.7779532;-141647594.1845237;300983382.74146366;137961197.8570174;-183124312.8874067;-719274327.2381651;164484180.9646018;-782846276.7636585;-541842512.7041172;373532682.3593331;64772004.95779791;60824696.11313924;48386640.680054635;-258879939.3133566;-29530600.08963935;-1923355.5206868253;82656560.49917103;38451625.725291505;6974430.029909301;7354492.078406807;27360510.586915568;-10177937.784840494;-5674248.831170945;12255561.977765923;-3059014.321771903;2912098.9998614765;-2907824.661774627;1147454.4768363212;-2237771.183752461;OSCC;OSCC_100x_2.jpg
4.485349665277909e+31;-7.539309741793246e+28;-9.918780947429426e+27;-1.9325516306434112e+24;-1.6437915507334563e+24;-2.3987031691445538e+24;1.8416773940593403e+21;-2.2110896984785132e+21;-1.4004819587329612e+21;2.8602002145300074e+20;4.01238561970204e+19;5.957894877682362e+18;1.0592012935080465e+18;5.276053040755487e+17;8.48797760807663e+16;1371932394772483.8;-554367517242856.4;225816076827698.03;39955991340602.81;259306856177.097;186899514485.2989;-525053067651.28235;-96673742.78827865;-115284386.6290996;-3487934715.7046337;-2171071917.9464293;-2423078913.9061584;638868645.0553762;-671838648.6681721;924978477.4995004;-550695854.0345513;173103535.26252487;-182672218.07968256;-346818747.5821404;192926955.3050097;-154347447.85617056;25621048.70159592;67326375.56249963;-24916648.747925293;-239446342.87319222;-133968072.39795515;-15292506.786272436;-343954071.0126198;106270513.70656197;98450196.9184101;100118725.41693889;-63558279.63209634;26032964.810716026;-43715089.071399674;-25186047.864117526;8150387.964504423;71623.68712521237;6252168.451293447;25685011.62104831;-18404030.10381746;25800328.65340695;-20826727.385732364;12964777.850705244;9509832.125915706;14282357.497557446;-4750929.824405461;8673713.586820627;-2108367.3603726826;-10593916.762940712;-9290398.050573027;-554867.0097456113;-13323689.460247463;-4827028.991743939;-815071.1948438254;1760733.527025726;2059789.4759797286;-593166.0259177369;-427579.6643695355;235194.7534469314;104371.29267310993;32075.506145759184;-198265.55549061368;OSCC;OSCC_100x_101.jpg
3.763792231061855e+31;-7.730041217574544e+28;-6.457456604172229e+26;-3.819781070563888e+24;-4.177191711494477e+24;1.5503844557009065e+22;-1.897960541530154e+21;1.585922807035104e+21;2.742800172889332e+20;2.1269462006242178e+20;1.0491194278404946e+19;-1.217555250857622e+18;-2.1689728863999568e+17;-2.637672854992262e+17;1.3803183353690946e+17;265423324804961.25;-1167311662991193.8;192809977048503.56;165355685654926.38;65904474196.504326;-116386742054.13214;-180291881168.68076;-2313953821.7801394;-715394045.7547998;-544364310.8546382;-40956964.37377786;-997469509.0716902;-272219690.5215871;43521896.280550964;-696451567.5278422;-1099980425.1875987;223880026.25013342;-308320283.0480211;-130468052.18463176;-287623882.8594327;-168211331.9334312;6443802.0527017;-264663717.88133433;470579709.09476405;47279967.44497486;-420602460.9518274;87679058.87471256;221691835.35786733;7417747.435032811;37263708.52172672;84479896.91241042;13585379.437282024;-35850039.12794775;-9152416.663498648;-6913367.324913735;23331471.732629508;-18602920.0472928;14116712.663352193;-4921341.990962755;9414672.680894382;8324480.903645869;63086357.3238346;15236093.297489174;5735714.751097841;-15477284.958274804;4092610.9604305336;9303561.136021087;1712208.6198463251;-2062141.2543806364;-1100745.3106693684;-3829490.946767965;12564091.64618079;4386403.060998485;19008.218679162677;-404510.14916125993;-784346.1246749806;-502201.0464288731;700443.3335258003;-89756.33656286362;-61555.207840882504;595665.7396506309;-576345.8784324419;OSCC;OSCC_100x_198.jpg
9.728366484036707e+31;-9.368148558036402e+28;-4.083760804227186e+27;2.578375048461477e+25;-5.868503553834778e+23;6.369083581614907e+24;8.044055521824578e+21;4.671726949806789e+21;-5.409455306790308e+20;1.586064508416717e+20;3.255282676895556e+19;1.170981419994911e+18;1.2477120241989852e+18;-1.2325813112190203e+18;3.3546511651305555e+17;-1663204158429368.2;-1728569808653720.0;9774993552395.08;-108971514935170.28;-210861327271.49695;457443487374.61523;-951138747421.5364;-776427424.9168698;8623941596.592129;981910253.6417602;1919993289.8086963;-3917139463.6358356;-1824515798.6515803;-271239061.304094;-1661503666.5112872;-612809461.5831343;104771731.780531;692117323.1468506;153927228.98595136;451969373.05232567;-449007685.46857816;-133084658.81275144;368211266.486059;100467194.88605225;72516333.6377766;144147367.4140746;1043007690.8640492;-480410317.4439811;211090123.33277303;-161084475.92330667;58754262.54414464;-43410733.76822996;-222918698.4570468;32765256.72971653;-65901151.611649856;16750389.95841919;-39848435.27712793;11735978.166539792;-99134654.25879419;24569529.655446384;39286852.542251825;79937136.09383363;30392202.73928629;-14989157.29186148;8910529.230475714;-10980971.82947678;25546337.068999037;-11270834.250317197;932189.428942962;-3895038.429888947;-11030518.171407439;10381889.412991224;3553057.5573472832;-455553.3651255722;35711.217839925426;-416590.0686234414;-2244219.812184353;394703.2930164797;-556902.5455243798;320160.01966717554;-259219.97373387276;605745.1447763527;OSCC;OSCC_100x_378.jpg
4.885444777825961e+32;-1.0433031774200023e+29;-1.43417338923844e+28;1.1704569672614748e+25;-3.088468110167824e+24;7.549422461266181e+23;4.1292713618675655e+21;6.227806564522831e+19;4.577394918014793e+20;1.2937595532885659e+20;1.163891059981928e+19;-1.1304405450656229e+18;3.3151303376956397e+17;6.896242976160382e+16;-4.093867239160153e+16;161615939428290.5;198541711037386.38;19139964246800.7;-1725482268056.4392;346287389176.45245;-10943017474.826809;68501885485.93446;-2270716421.170337;5537906173.331667;-6609636667.241535;1361099970.1294286;-10887068706.66788;-9021249140.42974;-2666922010.4754877;-2832041326.456575;3874294680.1106873;70037599.2941529;914370110.6820116;-1599464558.6251614;-1544415214.1704974;-3616615511.8671474;-1956738198.0174737;450180516.73283595;1362296665.641936;3173149428.833445;-722621147.508797;514756565.5727376;472996622.3509216;262251679.3784255;56986744.72307512;24993654.076889474;-497356265.72880214;-163310689.11259392;112276003.83071749;9943111.45257214;-116485408.56951751;-265046628.6681852;6336828.606767979;-26650728.49610623;-52381800.17102372;-89362617.69570938;713843319.6636405;-225427970.03495368;-12222824.86454449;41308335.72524758;-31814227.238461535;106598391.29536822;18188067.606913373;9271692.097559717;-73285326.41709009;559928.7371255495;-7686471.577926443;-4809424.433731811;-8166524.247848528;4807332.25125993;-12186417.101574887;-4722006.220468959;5568312.015680581;-5178369.797498696;1453766.4742590075;42432.59471888756;-807361.8568226846;OSCC;OSCC_100x_297.jpg
-2.9983582075608196e+32;-7.03058525322304e+28;4.379844601797832e+27;-1.9475235272931743e+24;1.2674133730840967e+24;5.8127977652233814e+23;6.590061257329892e+20;5.214172882382384e+21;-8.544301711912786e+20;2.3797488529795537e+20;-1.7317613494941245e+18;-2.677130737191452e+18;2.4460212169000784e+17;-8.632440706459483e+17;-3.511866838475082e+17;985255842594621.6;-894026341404212.1;-188974939030988.28;-71773896108204.34;98197357730.34398;-179547926048.25024;164013589056.5325;2881542406.1266446;6389752946.444274;-1974816500.8034456;-1031090170.2735095;944033056.6703516;1517859919.9063725;1330061190.519545;3994964070.10083;1594391277.1278145;-382483753.4381607;-1236280965.9799259;3144214602.2183743;1880830058.7121277;3422690490.59816;76204033.90146975;-7325347388.87346;-1918802971.3340294;-575107805.2935994;346784153.69169843;-995273532.6728345;-552340659.7318878;-122257812.58144046;369424468.1742485;-102338272.96601605;123299192.3582767;-187497458.9227389;-29216613.52098179;-71929309.38267125;102052782.11884145;92460964.09782636;9076941.442456674;138829776.55241066;33169903.555416778;-70496361.3334574;-88190295.23581557;117858694.34153555;-7242337.994616847;-15360040.668497976;10915944.74334113;-68458855.26124398;-5354433.854783091;-12198260.00183932;31540924.855286058;-1941951.1058612396;4714050.913146512;2558739.863311366;1429836.0824150685;-4892850.605191305;8258770.153965168;2725808.967683655;-5449594.109305988;2323737.2772681355;-1220189.8627672745;798082.890057869;-2064861.7608304855;OSCC;OSCC_100x_189.jpg
3.332514230474596e+32;-5.71795802729278e+28;2.144894806292997e+28;-8.190397395466157e+24;2.6949224382388887e+23;2.3228767523246809e+24;-1.6289000491282397e+21;-8.440439529398962e+19;-8.950327919511111e+20;6.540846333968929e+20;4.765493569801791e+18;4.5378738258481224e+16;4.43923267660004e+17;-4.673293389757494e+17;-3.1572539583652556e+16;-459061349016750.0;86830386794308.3;-146000271972932.25;42431036895054.76;-128426580803.98451;-50863369337.21063;106651302221.56587;418769753.6049693;-27640874447.873287;14423681961.752836;-4302479146.161385;-4282605624.5858874;643571991.406682;-2279014010.2135687;-4416859709.302866;-5107622639.277186;101678568.18383646;778566765.5035684;-3472218887.5717187;1392073000.7620952;-5984554338.344415;-170584128.67605567;494450003.4209849;1191587775.8457425;385518513.521799;370737627.79599875;808226921.5867903;4912553076.398368;167110688.47212487;305454615.81765425;151690278.5353978;-51797460.08962841;-241594770.30460957;108488799.47361828;56322471.32287218;-176311919.58294803;-193872721.5129904;-32636909.323038854;17177523.599264257;-7241093.309357827;48741386.04746417;556969725.2696162;15593974.933609145;-52211738.212677784;-67007862.36160039;-34718801.45109389;74303400.22727245;22501813.20818715;-4528172.294892806;-19436734.318263423;-17728629.62197156;-6996706.460563941;-1072637.3745773118;-6107741.946408648;2604480.7312816833;-2099741.6705683526;-4088217.2932279673;-2608246.837670438;-2210891.900621389;788766.6568314228;-896781.8455182948;1029038.2899200923;OSCC;OSCC_100x_288.jpg
-3.991220787065214e+32;-6.845154241853311e+28;8.476998401529643e+27;-2.6008375576889865e+24;-3.861411131090695e+24;2.7222474992694386e+24;6.464082232667459e+21;-4.234058119523636e+20;6.897992913219773e+20;4.183724327314164e+20;-1.056381930702488e+19;1.5368946508684867e+18;-2.184475949850176e+17;2.9492346936911475e+17;5.660471167624392e+16;-54672835610769.875;-742276309885395.9;-161796534895977.06;21516448076397.53;148067918970.94272;-52811488463.39437;214605574270.75406;2064231332.4637454;36906482017.54096;3485382780.2530913;1400744943.6769207;1973471151.2339118;-26906635.930563338;3351359880.765546;-5548009815.269682;1078654701.7766168;-65988766.69001652;-1119911243.6136289;875627529.1910487;-1346341240.221356;7965548052.711531;2211016606.0809603;-589840183.0819471;-3286173448.3144317;-431401164.36564493;1708485769.0433636;-1206090752.1966383;-5861519265.38492;-266072672.08879218;-519421907.6214864;42148849.00982766;319753.3051756788;168791656.03750154;132062923.16891034;-37793760.31944464;99917983.5019735;147313600.15050998;41531036.506055236;23546651.737613637;30264363.76631383;-34184941.43119033;-743956056.378472;-9509574.700422343;43793272.285937585;-112367199.76321761;30612144.446331393;-70636035.67516774;-24450912.908946086;-24219432.40555927;4556434.885177999;11951642.576832004;-7876281.936166712;-4791626.360577879;-933747.5927031272;-2488166.355847564;-2966195.7822089633;5438957.711669094;-5925729.146670689;4499894.684251058;-1006947.2419496982;361593.88626102015;-1259153.937577347;OSCC;OSCC_100x_369.jpg
-2.6172779251767533e+32;-1.0454346371439604e+29;2.996189327645157e+28;1.386761448828465e+25;4.485527662972015e+24;-2.769164436288334e+23;2.764727359971049e+21;1.0442372666632857e+21;-1.1133383569184586e+20;-1.6945467872971388e+20;4.372686538542031e+18;5.10134317328958e+18;5.764676129820151e+17;2.861302632845868e+16;1.249517897977115e+17;1447584537750464.5;-18389813745692.953;48448057650605.93;-97558488298120.44;238187007196.2513;-103910515174.61203;-20439655352.142704;1227512974.6716578;-17157441849.487684;110603890.42003217;166973823.82863957;378035548.05474716;2070062922.6116168;1102225354.7383127;-4834204952.956491;2154246379.237115;183992217.53001413;-233494122.9136318;1426049784.4029355;119120543.01357608;2023691051.410024;902836092.1751714;-919095216.9656335;-1434038933.8203645;-382417287.278506;-1137053188.4981127;-1248532594.6046069;-1536411637.2222111;-16104807.911550995;289967609.048996;-77397672.37509283;-63366349.59065818;109093003.7731641;-82809749.87904803;-7427707.454873483;85605329.44792578;63986890.472970515;-6771615.371962047;23949992.730909787;28383196.804970533;-39186113.29526741;32215213.825031407;46531752.381069094;25744296.588873036;19617564.426653996;16100242.841136891;-13293249.957867354;-19331423.372846123;-11155481.439584441;4963046.145733097;5560818.564562752;-17352822.446944166;-6727516.53394914;-100912.9777987614;-191368.66728756268;2559892.521747813;2909926.2847149097;-3160026.9613959347;1582085.358565705;-661778.8795291977;-210015.5424502926;-1137129.3777753836;OSCC;OSCC_100x_387.jpg
5.866131351697519e+32;2.08278019018675e+29;-7.472275711665232e+27;-1.1321003018229978e+25;-1.3451603700348532e+24;-2.0374351988375602e+23;2.0723357137193334e+21;-1.648407556984345e+20;-3.318789713649667e+20;-1.1720264738472949e+20;1.0282067866644052e+19;2.731842534741282e+18;1.0899623794666129e+18;2.0469619353997533e+17;-1.337167877988282e+16;-832243180976905.1;-722874047933629.5;86281826111315.28;-132335109781639.22;-453856358746.7368;-10957092549.121431;-51943205231.46827;-256897655.83866832;-11461779351.552767;6350926181.119575;4219795202.7194786;5228786887.002398;-7401755645.965169;-5104924519.718693;6248170603.004055;8996084446.053223;195835337.68843183;4112237707.142364;-6902800720.688009;195150403.1871777;-3409251009.899459;2015908751.2746084;-3658694160.6199784;2549948911.2137036;2917395626.9512486;1347909064.4414005;-1325354006.1072958;1592712967.8699398;577622401.6743801;-1083672815.5348725;264589630.74541727;-115342946.72700855;156292075.8196522;196438284.01653096;55334613.29350524;-216118807.42963043;-131471864.89785866;-56184795.435250446;242894471.21656826;-57965458.10063378;-71658382.0251314;755268586.7179546;-241623464.83972096;-141339167.52274603;13084161.646173835;-42609380.79624421;57361443.40818941;25072791.60781244;7449475.508932945;1360891.681174424;-17897906.77053986;-14787370.7706126;-5259739.755168347;-887037.6447026186;9081482.40683589;17378941.88753122;-9138159.391985439;12360413.547392491;-4386556.254456044;1426921.4564613567;-1325187.2717683888;526573.8464529956;OSCC;OSCC_100x_11.jpg
